Language,Emoji&hashtag,Train/test,Model,Model_Specification,TF-IDF,Balance,Average_accuracy_30IT,Std_deviation
Spanish,All,80/20,Naive Bayes,Bernoulli,No,No,71.95631528964863,0.8134731798238098
Spanish,All,80/20,SVM,"Linear kernel, small C",Yes,Yes,70.88998211091234,1.3952732098721454
Spanish,All,80/20,SVM,"Linear kernel, small C",Yes,No,67.87138787138787,0.9386663439277085
Spanish,All,80/20,SVM,"Linear kernel, small C",No,Yes,74.79427549194992,0.7430453063531097
Spanish,All,80/20,SVM,"Linear kernel, small C",No,No,74.76190476190476,0.6789713462317222
Spanish,All,80/20,SVM,"Linear kernel, standard C",Yes,Yes,74.1726296958855,0.7581286719833884
Spanish,All,80/20,SVM,"Linear kernel, standard C",Yes,No,74.46479446479447,0.7684919325539388
Spanish,All,80/20,SVM,"Linear kernel, standard C",No,Yes,71.97823494335123,0.865907046295464
Spanish,All,80/20,SVM,"Linear kernel, standard C",No,No,72.16117216117216,0.7297884353387659
Spanish,All,80/20,SVM,"Linear kernel, large C",Yes,Yes,70.14609421586167,0.8696465158853774
Spanish,All,80/20,SVM,"Linear kernel, large C",Yes,No,70.66883733550401,0.7656423651199384
Spanish,All,80/20,SVM,"Linear kernel, large C",No,Yes,69.69886702444842,0.912299119627185
Spanish,All,80/20,SVM,"Linear kernel, large C",No,No,69.9647266313933,0.8769326293525644
Spanish,All,80/20,SVM,"RBF kernel, small C",Yes,Yes,58.36463923673226,2.4018104141014467
Spanish,All,80/20,SVM,"RBF kernel, small C",Yes,No,58.211911545244874,0.9907322305098328
Spanish,All,80/20,SVM,"RBF kernel, small C",No,Yes,66.10166964818127,0.9163536039990331
Spanish,All,80/20,SVM,"RBF kernel, small C",No,No,65.0685117351784,0.7368714052285164
Spanish,All,80/20,SVM,"RBF kernel, standard C",Yes,Yes,75.17590936195587,0.7114973505509343
Spanish,All,80/20,SVM,"RBF kernel, standard C",Yes,No,75.47822547822548,0.7236378987518484
